Date,Won,Crimes
2017-03-15,1,229
2017-03-16,0,290
2017-03-20,0,320
2017-03-21,0,276
2017-03-23,0,258
2017-03-25,1,247
2017-03-28,1,233
2017-03-30,1,302
2017-04-02,0,249
2017-04-03,1,209
2017-04-04,1,255
2017-04-11,0,277
2017-04-12,0,272
2017-04-15,0,251
2017-04-17,0,259
2017-04-19,0,285
2017-04-21,1,276
2017-04-23,0,274
2017-05-01,0,268
2017-05-10,1,296
2017-06-03,0,252
2017-06-04,0,254
2017-06-11,1,281
2017-07-01,1,229
2017-07-12,1,272
2017-08-01,0,193
2017-08-03,1,279
2017-08-04,0,252
2017-08-11,0,260
2017-09-02,1,220
2017-09-10,0,214
2017-09-12,1,260
2017-10-01,1,263
2017-10-11,0,315
2017-10-14,1,262
2017-10-15,0,268
2017-10-19,1,322
2017-10-21,0,294
2017-10-26,1,279
2017-10-28,0,282
2017-10-30,0,305
2017-11-02,1,233
2017-11-03,1,256
2017-11-10,0,279
2017-11-11,0,245
2017-11-15,0,275
2017-11-16,1,278
2017-11-18,1,273
2017-11-22,1,230
2017-11-24,1,222
2017-11-26,0,208
2017-11-29,1,308
2017-12-01,0,257
2017-12-02,1,225
2017-12-04,1,287
2017-12-13,1,229
2017-12-14,0,240
2017-12-16,0,244
2017-12-18,1,239
2017-12-19,1,257
2017-12-21,1,259
2017-12-23,1,221
2017-12-27,1,212
2017-12-28,0,220
2017-12-30,1,210
2018-01-02,1,288
2018-01-03,1,277
2018-01-04,0,248
2018-01-12,0,296
2018-01-13,1,290
2018-01-15,0,245
2018-01-17,1,281
2018-01-18,1,229
2018-01-20,1,251
2018-01-23,1,272
2018-01-25,1,242
2018-01-30,0,260
2018-02-01,1,218
2018-02-05,0,349
2018-02-13,1,229
2018-02-17,0,256
2018-02-19,1,217
2018-02-20,1,275
2018-02-24,0,265
2018-02-25,0,207
2018-02-27,1,257
2018-03-02,1,220
2018-03-03,1,226
2018-03-04,0,251
2018-03-10,0,289
2018-03-11,0,311
2018-03-13,1,237
2018-03-15,0,280
2018-03-17,1,247
2018-03-19,0,245
2018-03-21,0,282
2018-03-23,1,262
2018-03-25,1,246
2018-03-27,0,284
2018-03-29,1,248
2018-03-31,1,260
2018-04-05,0,345
2018-04-10,1,265
2018-04-12,0,274
2018-04-14,1,294
2018-04-16,0,199
2018-04-19,1,260
2018-04-21,0,269
2018-04-23,0,258
2018-04-25,1,290
2018-04-28,1,285
2018-04-30,0,279
2018-05-04,0,292
2018-05-11,1,272
2018-06-01,1,224
2018-06-02,1,260
2018-06-03,1,263
2018-06-05,0,259
2018-06-12,0,259
2018-07-01,0,208
2018-07-02,1,206
2018-07-04,1,279
2018-08-03,1,255
2018-08-04,0,219
2018-08-10,1,228
2018-08-11,0,234
2018-08-12,1,247
2018-09-12,1,249
2018-10-02,0,253
2018-10-03,1,263
2018-10-11,1,256
2018-10-13,1,251
2018-10-17,0,254
2018-10-18,0,279
2018-10-20,0,290
2018-10-23,1,270
2018-10-25,1,289
2018-10-27,0,266
2018-10-30,1,263
2018-11-02,1,206
2018-11-03,0,178
2018-11-10,1,267
2018-11-11,1,232
2018-11-12,1,240
2018-11-14,0,279
2018-11-16,0,258
2018-11-17,1,295
2018-11-21,0,247
2018-11-23,1,193
2018-11-24,1,219
2018-11-26,0,273
2018-11-29,1,327
2018-12-04,1,306
2018-12-14,0,289
2018-12-16,0,284
2018-12-17,1,245
2018-12-20,1,242
2018-12-22,1,252
2018-12-23,0,200
2018-12-27,0,204
2018-12-29,1,216
