Date,Won,Crimes
2012-08-02,L,
2012-08-03,W,
2012-08-04,L-wo,
2012-08-05,L,
2012-08-06,L,
2012-08-07,L,182.0
2012-08-08,L,263.0
2012-08-09,L,257.0
2012-08-12,W,243.0
2012-08-14,L,272.0
2012-08-15,L,277.0
2012-08-16,W,260.0
2012-08-17,L,276.0
2012-08-18,W,244.0
2012-08-19,L,244.0
2012-08-21,L,270.0
2012-08-22,L,237.0
2012-08-23,L,250.0
2012-08-24,W,272.0
2012-08-25,L,252.0
2012-08-26,W,249.0
2012-08-27,W,245.0
2012-08-28,L-wo,275.0
2012-08-29,L,263.0
2012-08-30,L,282.0
2012-08-31,L,276.0
2012-09-02,L,
2012-09-03,W,
2012-09-04,W,
2012-09-05,L,
2012-09-06,L,
2012-09-08,L,280.0
2012-09-09,L,224.0
2012-09-11,L,283.0
2012-09-13,L,272.0
2012-09-14,W,299.0
2012-09-15,W,267.0
2012-09-16,L,221.0
2012-09-17,W,262.0
2012-09-18,W,277.0
2012-09-19,L,233.0
2012-09-20,L-wo,241.0
2012-09-21,L,311.0
2012-09-22,L,275.0
2012-09-23,W,228.0
2012-09-25,L,286.0
2012-09-26,L,274.0
2012-09-28,L,283.0
2012-09-29,L,242.0
2012-09-30,L,226.0
2012-10-01,W,
2012-10-02,L,
2012-10-03,L,
2012-10-04,L,
2012-10-05,L,
2012-10-06,L,
2012-10-08,W,243.0
2012-10-11,W,249.0
2012-10-12,W,255.0
2012-10-14,L,193.0
2012-10-21,W,261.0
2012-10-28,W,218.0
2012-10-30,L,216.0
2012-11-01,L,
2012-11-02,W,
2012-11-03,L,
2012-11-04,L,
2012-11-05,W,
2012-11-06,L,
2012-11-08,L,273.0
2012-11-09,W-wo,266.0
2012-11-11,W,210.0
2012-11-14,W,209.0
2012-11-15,L,237.0
2012-11-17,W,235.0
2012-11-18,W,213.0
2012-11-21,L,253.0
2012-11-22,W,121.0
2012-11-23,W,201.0
2012-11-25,W,189.0
2012-11-28,L,200.0
2012-11-30,W,242.0
2012-12-01,W,
2012-12-02,W,
2012-12-03,W,
2012-12-04,W,
2012-12-05,W,
2012-12-06,W,
2012-12-08,W,224.0
2012-12-09,L,272.0
2012-12-11,W,228.0
2012-12-12,W,230.0
2012-12-14,L,284.0
2012-12-15,L,250.0
2012-12-16,L,216.0
2012-12-18,L,231.0
2012-12-19,W,237.0
2012-12-21,L,255.0
2012-12-23,W,189.0
2012-12-25,W,122.0
2012-12-27,L,165.0
2012-12-29,L,215.0
2012-12-30,W,166.0
2013-01-02,W,288.0
2013-01-03,W,273.0
2013-01-04,W,284.0
2013-01-05,W,324.0
2013-01-06,W,283.0
2013-01-08,W-wo,274.0
2013-01-09,W,295.0
2013-01-11,L,301.0
2013-01-12,W,218.0
2013-01-13,W,197.0
2013-01-14,W,253.0
2013-01-16,L,205.0
2013-01-18,L,254.0
2013-01-19,W,242.0
2013-01-20,L,194.0
2013-01-21,W,169.0
2013-01-22,L,216.0
2013-01-23,L,189.0
2013-01-24,L,230.0
2013-01-25,L,249.0
2013-01-27,W,188.0
2013-01-28,W,238.0
2013-01-29,W,244.0
2013-01-30,W,241.0
2013-01-31,L,272.0
2013-02-01,L,210.0
2013-02-02,W,247.0
2013-02-03,W,228.0
2013-02-04,W,247.0
2013-02-05,W,242.0
2013-02-06,W,259.0
2013-02-07,W,261.0
2013-02-08,L,268.0
2013-02-09,L,207.0
2013-02-11,L,264.0
2013-02-13,W,248.0
2013-02-15,L,262.0
2013-02-17,W,158.0
2013-02-19,L,199.0
2013-02-20,L,187.0
2013-02-21,W,188.0
2013-02-22,W,225.0
2013-02-24,L,179.0
2013-02-25,W,229.0
2013-02-26,W,214.0
2013-02-28,W,246.0
2013-03-02,W,170.0
2013-03-03,L,184.0
2013-03-04,W,249.0
2013-03-05,L,281.0
2013-03-06,W,263.0
2013-03-07,W-wo,268.0
2013-03-08,W,278.0
2013-03-09,W,237.0
2013-03-10,W,259.0
2013-03-11,W,242.0
2013-03-12,W,220.0
2013-03-13,W,251.0
2013-03-14,W,232.0
2013-03-16,W,238.0
2013-03-17,L,283.0
2013-03-18,L,244.0
2013-03-19,L,169.0
2013-03-20,L,221.0
2013-03-21,W,222.0
2013-03-22,L,215.0
2013-03-23,L,242.0
2013-03-25,W,241.0
2013-03-26,L,218.0
2013-03-27,W,269.0
2013-03-29,W,226.0
2013-03-30,L,249.0
2013-03-31,L,182.0
2013-04-01,W,275.0
2013-04-04,L,260.0
2013-04-05,L,238.0
2013-04-06,W,273.0
2013-04-07,W,273.0
2013-04-08,W,248.0
2013-04-09,W,259.0
2013-04-11,L,206.0
2013-04-13,W-wo,260.0
2013-04-14,W,190.0
2013-04-15,W-wo,347.0
2013-04-16,W,208.0
2013-04-17,W,193.0
2013-04-18,W,211.0
2013-04-20,W,224.0
2013-04-21,L,189.0
2013-04-22,W,195.0
2013-04-23,L,186.0
2013-04-24,W,213.0
2013-04-25,W,245.0
2013-04-26,W,253.0
2013-04-27,W,244.0
2013-04-28,W,239.0
2013-04-30,L,220.0
2013-05-01,W,192.0
2013-05-03,W,218.0
2013-05-04,W,251.0
2013-05-05,L-wo,226.0
2013-05-06,L,263.0
2013-05-07,W,286.0
2013-05-08,L,241.0
2013-05-09,W,245.0
2013-05-10,W,249.0
2013-05-11,L,227.0
2013-05-12,L,261.0
2013-05-13,W,299.0
2013-05-14,L,244.0
2013-05-15,W,236.0
2013-05-16,W,270.0
2013-05-17,W,293.0
2013-05-18,W,251.0
2013-05-19,W,222.0
2013-05-20,L,254.0
2013-05-21,L,241.0
2013-05-22,W,254.0
2013-05-23,L,274.0
2013-05-24,W,273.0
2013-05-25,W,196.0
2013-05-26,W-wo,213.0
2013-05-27,W,211.0
2013-05-28,L,273.0
2013-05-29,L,204.0
2013-05-30,W,249.0
2013-05-31,L,262.0
2013-06-02,W,212.0
2013-06-03,W,197.0
2013-06-04,L,244.0
2013-06-05,W-wo,243.0
2013-06-06,W-wo,269.0
2013-06-07,L-wo,242.0
2013-06-08,W,279.0
2013-06-09,W,244.0
2013-06-10,L,217.0
2013-06-11,W,228.0
2013-06-12,W,245.0
2013-06-13,L-wo,264.0
2013-06-14,L,256.0
2013-06-15,W,267.0
2013-06-16,L,230.0
2013-06-17,W,284.0
2013-06-18,W,268.0
2013-06-19,L,251.0
2013-06-20,L-wo,259.0
2013-06-21,W,300.0
2013-06-22,L,269.0
2013-06-23,L,237.0
2013-06-24,L,270.0
2013-06-25,W,236.0
2013-06-26,W,270.0
2013-06-27,W,208.0
2013-06-28,W,259.0
2013-06-29,L,259.0
2013-06-30,W-wo,247.0
2013-07-01,W,224.0
2013-07-02,W,235.0
2013-07-03,W,208.0
2013-07-04,W,220.0
2013-07-05,L,265.0
2013-07-06,W,238.0
2013-07-07,L,224.0
2013-07-08,W,246.0
2013-07-09,W,281.0
2013-07-11,W,234.0
2013-07-12,W,227.0
2013-07-13,L,269.0
2013-07-14,L-wo,239.0
2013-07-19,W,250.0
2013-07-20,L,266.0
2013-07-21,W-wo,279.0
2013-07-22,L,273.0
2013-07-23,W,241.0
2013-07-24,L,273.0
2013-07-26,L,269.0
2013-07-27,W,261.0
2013-07-28,W,242.0
2013-07-29,L,258.0
2013-07-30,W,281.0
2013-07-31,W-wo,300.0
2013-08-03,W,239.0
2013-08-04,W,267.0
2013-08-05,L,227.0
2013-08-06,L,235.0
2013-08-07,L,254.0
2013-08-08,L,235.0
2013-08-09,L-wo,249.0
2013-08-11,W,277.0
2013-08-12,W,210.0
2013-08-13,W,241.0
2013-08-14,L-wo,262.0
2013-08-15,L,264.0
2013-08-16,L,278.0
2013-08-17,W,261.0
2013-08-18,L,226.0
2013-08-19,W,245.0
2013-08-20,L-wo,272.0
2013-08-21,W,272.0
2013-08-23,L,281.0
2013-08-24,W,272.0
2013-08-25,W,236.0
2013-08-27,W,255.0
2013-08-28,W,272.0
2013-08-29,L,238.0
2013-08-30,W,274.0
2013-08-31,W,235.0
2013-09-01,W,231.0
2013-09-03,W,230.0
2013-09-05,L,241.0
2013-09-06,W,240.0
2013-09-07,W,242.0
2013-09-08,L,268.0
2013-09-11,W,229.0
2013-09-13,W,267.0
2013-09-14,W,271.0
2013-09-15,W,244.0
2013-09-17,L,255.0
2013-09-18,L,264.0
2013-09-19,W,251.0
2013-09-20,W,327.0
2013-09-21,L,284.0
2013-09-22,W,251.0
2013-09-24,L,211.0
2013-09-25,W,274.0
2013-09-27,W,278.0
2013-09-28,L,273.0
2013-09-29,L,217.0
2013-10-02,W,200.0
2013-10-03,L,175.0
2013-10-04,L,214.0
2013-10-05,W,273.0
2013-10-06,W,250.0
2013-10-07,W,269.0
2013-10-08,W,257.0
2013-10-09,W,245.0
2013-10-10,L,247.0
2013-10-12,L,204.0
2013-10-13,W,194.0
2013-10-14,L,216.0
2013-10-17,W,244.0
2013-10-19,W,225.0
2013-10-20,L,227.0
2013-10-23,W,208.0
2013-10-24,W,232.0
2013-10-26,L,243.0
2013-10-27,W,181.0
2013-10-30,L,229.0
2013-10-31,W,292.0
2013-11-01,W,245.0
2013-11-02,L,241.0
2013-11-03,W,220.0
2013-11-04,L,224.0
2013-11-05,L,235.0
2013-11-06,L,208.0
2013-11-07,W,263.0
2013-11-08,L,230.0
2013-11-09,W,278.0
2013-11-11,W,200.0
2013-11-12,L,234.0
2013-11-13,L,212.0
2013-11-14,W,240.0
2013-11-15,L,349.0
2013-11-16,L,232.0
2013-11-18,L,242.0
2013-11-19,L,209.0
2013-11-20,L,227.0
2013-11-21,L,233.0
2013-11-22,L,248.0
2013-11-23,W,233.0
2013-11-24,W,192.0
2013-11-25,W,229.0
2013-11-27,L,246.0
2013-11-29,W,198.0
2013-11-30,L,204.0
2013-12-02,L,208.0
2013-12-03,L,220.0
2013-12-04,L,238.0
2013-12-05,L,196.0
2013-12-06,W,239.0
2013-12-07,W,308.0
2013-12-09,L,254.0
2013-12-10,W,242.0
2013-12-12,W,208.0
2013-12-13,W,251.0
2013-12-14,L,205.0
2013-12-15,L,174.0
2013-12-16,W,206.0
2013-12-17,W,209.0
2013-12-18,L,204.0
2013-12-19,L,248.0
2013-12-21,L,265.0
